OBJECTID,L_F_ADD,R_F_ADD,L_T_ADD,R_T_ADD,GBSID,STREETALL,F_XSTREET_1,City,Concatenated,F_CLASS,ALT_NAM1,ALT_NAM2,ZIP5_L,ZIP5_R,CITYLEFT,CITYRIGT,PREDIR,STREETNAME,TYPE,SUFDIR,SPEED_LIM,HIGHWAY_NU,ALT_ID,COUNTYRIGT,COUNTYLEFT,ONEWAY,MSLINK,F_XSTREET_2,F_XSTREET_3,T_XSTREET_1,T_XSTREET_2,T_XSTREET_3,GlobalID,RuleID,FromLanes,ToLanes,Shape__Length
6426,898,899,800,801,10001,DOWLING AVE N,BRYANT AVE N,Minneapolis,DOWLING AVE N BRYANT AVE N Minneapolis,A40,,,55412,55412,MINNEAPOLIS,MINNEAPOLIS,,DOWLING,AVE,N,30,,6426,HENNEPIN,HENNEPIN,B,6424,,,ALDRICH AVE N,,,65cc6698-b69c-4061-a37d-22e49230bee7,3,1 Lane,1 Lane,141.0068244
6610,998,999,900,901,10002,DOWLING AVE N,COLFAX AVE N,Minneapolis,DOWLING AVE N COLFAX AVE N Minneapolis,A40,,,55412,55412,MINNEAPOLIS,MINNEAPOLIS,,DOWLING,AVE,N,30,,6610,HENNEPIN,HENNEPIN,B,11551,,,BRYANT AVE N,,,83fef4e4-4b45-4489-a0cd-340afefa14a7,3,1 Lane,1 Lane,140.5474685
11889,1098,1099,1000,1001,10003,DOWLING AVE N,DUPONT AVE N,Minneapolis,DOWLING AVE N DUPONT AVE N Minneapolis,A40,,,55412,55412,MINNEAPOLIS,MINNEAPOLIS,,DOWLING,AVE,N,30,,11889,HENNEPIN,HENNEPIN,B,6423,,,COLFAX AVE N,,,e06b0cee-7bf7-4690-8285-d4073b75e1a3,3,1 Lane,1 Lane,139.9997687
4426,3801,3800,3899,3898,10004,DUPONT AVE N,DOWLING AVE N,Minneapolis,DUPONT AVE N DOWLING AVE N Minneapolis,A40,,,55412,55412,MINNEAPOLIS,MINNEAPOLIS,,DUPONT,AVE,N,30,,4426,HENNEPIN,HENNEPIN,B,6486,,,39TH AVE N,,,c9daee05-1e94-46e2-b92f-afa9cd4a0505,3,1 Lane,1 Lane,285.5422244
2050,1198,1199,1100,1101,10005,DOWLING AVE N,EMERSON AVE N,Minneapolis,DOWLING AVE N EMERSON AVE N Minneapolis,A40,,,55412,55412,MINNEAPOLIS,MINNEAPOLIS,,DOWLING,AVE,N,30,,2050,HENNEPIN,HENNEPIN,B,6422,,,DUPONT AVE N,,,3159ccfb-1c08-4057-bc06-8c56f4a0a6e0,3,1 Lane,1 Lane,140.7931633
4667,3801,3800,3899,3898,10006,EMERSON AVE N,DOWLING AVE N,Minneapolis,EMERSON AVE N DOWLING AVE N Minneapolis,A40,,,55412,55412,MINNEAPOLIS,MINNEAPOLIS,,EMERSON,AVE,N,30,,4667,HENNEPIN,HENNEPIN,B,13868,,,39TH AVE N,,,759e0a28-db7c-47ae-96f3-bf7b1cf45393,3,1 Lane,1 Lane,285.8222302
4892,1298,1299,1200,1201,10007,DOWLING AVE N,FREMONT AVE N,Minneapolis,DOWLING AVE N FREMONT AVE N Minneapolis,A40,,,55412,55412,MINNEAPOLIS,MINNEAPOLIS,,DOWLING,AVE,N,30,,4892,HENNEPIN,HENNEPIN,B,13833,,,EMERSON AVE N,,,4e39867b-bd64-4e77-9537-d3f2f44e64a6,3,1 Lane,1 Lane,140.9131206
12461,3801,3800,3899,3898,10008,FREMONT AVE N,DOWLING AVE N,Minneapolis,FREMONT AVE N DOWLING AVE N Minneapolis,A40,,,55412,55412,MINNEAPOLIS,MINNEAPOLIS,,FREMONT,AVE,N,30,57,12461,HENNEPIN,HENNEPIN,B,6978,,,39TH AVE N,,,c0dd0624-f03f-4841-a942-870a4deae015,3,1 Lane,0,285.4559909
7998,3701,3700,3799,3798,10009,FREMONT AVE N,37TH AVE N,Minneapolis,FREMONT AVE N 37TH AVE N Minneapolis,A40,,,55412,55412,MINNEAPOLIS,MINNEAPOLIS,,FREMONT,AVE,N,30,57,7998,HENNEPIN,HENNEPIN,B,12628,,,DOWLING AVE N,,,f8c0d325-6219-453f-944b-12ccc7f176c9,3,1 Lane,0,285.7037817
7162,3701,3700,3799,3798,10010,DUPONT AVE N,37TH AVE N,Minneapolis,DUPONT AVE N 37TH AVE N Minneapolis,A40,,,55412,55412,MINNEAPOLIS,MINNEAPOLIS,,DUPONT,AVE,N,30,,7162,HENNEPIN,HENNEPIN,B,6485,,,DOWLING AVE N,,,f1449400-8803-4f79-b144-0d248597b524,3,1 Lane,1 Lane,285.1956469
