OBJECTID,neighborhood,Lat,Long,ucrDescription,number,reportMonth,reportYear
1,** NOT ASSIGNED **,#N/A,#N/A,Aggravated Assault,2,8,2017
2,** NOT ASSIGNED **,#N/A,#N/A,Arson,0,8,2017
3,** NOT ASSIGNED **,#N/A,#N/A,Auto Theft,3,8,2017
4,** NOT ASSIGNED **,#N/A,#N/A,Burglary,1,8,2017
5,** NOT ASSIGNED **,#N/A,#N/A,Homicide,0,8,2017
6,** NOT ASSIGNED **,#N/A,#N/A,Larceny,8,8,2017
7,** NOT ASSIGNED **,#N/A,#N/A,Rape,2,8,2017
8,** NOT ASSIGNED **,#N/A,#N/A,Robbery,1,8,2017
9,ARMATAGE,44.8984811,-93.3111949,Aggravated Assault,0,8,2017
10,ARMATAGE,44.8984811,-93.3111949,Arson,0,8,2017
11,ARMATAGE,44.8984811,-93.3111949,Auto Theft,1,8,2017
12,ARMATAGE,44.8984811,-93.3111949,Burglary,3,8,2017
13,ARMATAGE,44.8984811,-93.3111949,Homicide,0,8,2017
14,ARMATAGE,44.8984811,-93.3111949,Larceny,7,8,2017
15,ARMATAGE,44.8984811,-93.3111949,Rape,0,8,2017
16,ARMATAGE,44.8984811,-93.3111949,Robbery,0,8,2017
17,AUDUBON PARK,45.0172235,-93.2378076,Aggravated Assault,0,8,2017
18,AUDUBON PARK,45.0172235,-93.2378076,Arson,1,8,2017
19,AUDUBON PARK,45.0172235,-93.2378076,Auto Theft,2,8,2017
20,AUDUBON PARK,45.0172235,-93.2378076,Burglary,4,8,2017
21,AUDUBON PARK,45.0172235,-93.2378076,Homicide,0,8,2017
22,AUDUBON PARK,45.0172235,-93.2378076,Larceny,13,8,2017
23,AUDUBON PARK,45.0172235,-93.2378076,Rape,0,8,2017
24,AUDUBON PARK,45.0172235,-93.2378076,Robbery,0,8,2017
25,BANCROFT,44.9292714,-93.2545911,Aggravated Assault,1,8,2017
26,BANCROFT,44.9292714,-93.2545911,Arson,0,8,2017
27,BANCROFT,44.9292714,-93.2545911,Auto Theft,1,8,2017
28,BANCROFT,44.9292714,-93.2545911,Burglary,4,8,2017
