neighborhood,ucrDescription,number
** NOT ASSIGNED **,Aggravated Assault,18.0
** NOT ASSIGNED **,Arson,0.0
** NOT ASSIGNED **,Auto Theft,21.0
** NOT ASSIGNED **,Burglary,6.0
** NOT ASSIGNED **,Homicide,0.0
** NOT ASSIGNED **,Larceny,68.0
** NOT ASSIGNED **,Rape,11.0
** NOT ASSIGNED **,Robbery,13.0
ARMATAGE,Aggravated Assault,9.0
ARMATAGE,Arson,0.0
ARMATAGE,Auto Theft,11.0
ARMATAGE,Burglary,37.0
ARMATAGE,Homicide,0.0
ARMATAGE,Larceny,126.0
ARMATAGE,Rape,1.0
ARMATAGE,Robbery,2.0
AUDUBON PARK,Aggravated Assault,13.0
AUDUBON PARK,Arson,2.0
AUDUBON PARK,Auto Theft,45.0
AUDUBON PARK,Burglary,106.0
AUDUBON PARK,Homicide,1.0
AUDUBON PARK,Larceny,157.0
AUDUBON PARK,Rape,9.0
AUDUBON PARK,Robbery,11.0
BANCROFT,Aggravated Assault,9.0
BANCROFT,Arson,0.0
BANCROFT,Auto Theft,20.0
BANCROFT,Burglary,80.0
BANCROFT,Homicide,0.0
BANCROFT,Larceny,80.0
BANCROFT,Rape,1.0
BANCROFT,Robbery,9.0
BELTRAMI,Aggravated Assault,10.0
BELTRAMI,Arson,0.0
BELTRAMI,Auto Theft,13.0
BELTRAMI,Burglary,17.0
BELTRAMI,Homicide,0.0
BELTRAMI,Larceny,66.0
BELTRAMI,Rape,1.0
BELTRAMI,Robbery,6.0
BOTTINEAU,Aggravated Assault,11.0
BOTTINEAU,Arson,0.0
BOTTINEAU,Auto Theft,18.0
BOTTINEAU,Burglary,22.0
BOTTINEAU,Homicide,0.0
BOTTINEAU,Larceny,92.0
BOTTINEAU,Rape,2.0
BOTTINEAU,Robbery,7.0
BRYANT,Aggravated Assault,14.0
BRYANT,Arson,0.0
BRYANT,Auto Theft,19.0
BRYANT,Burglary,58.0
BRYANT,Homicide,0.0
BRYANT,Larceny,55.0
BRYANT,Rape,2.0
BRYANT,Robbery,11.0
BRYN - MAWR,Aggravated Assault,5.0
BRYN - MAWR,Arson,0.0
BRYN - MAWR,Auto Theft,22.0
BRYN - MAWR,Burglary,48.0
BRYN - MAWR,Homicide,0.0
BRYN - MAWR,Larceny,67.0
BRYN - MAWR,Rape,1.0
BRYN - MAWR,Robbery,1.0
CAMDEN INDUSTRIAL,Aggravated Assault,3.0
CAMDEN INDUSTRIAL,Arson,1.0
CAMDEN INDUSTRIAL,Auto Theft,8.0
CAMDEN INDUSTRIAL,Burglary,7.0
CAMDEN INDUSTRIAL,Homicide,1.0
CAMDEN INDUSTRIAL,Larceny,10.0
CAMDEN INDUSTRIAL,Rape,0.0
CAMDEN INDUSTRIAL,Robbery,2.0
CARAG,Aggravated Assault,19.0
CARAG,Arson,0.0
CARAG,Auto Theft,55.0
CARAG,Burglary,100.0
CARAG,Homicide,0.0
CARAG,Larceny,439.0
CARAG,Rape,12.0
CARAG,Robbery,22.0
CEDAR - ISLES - DEAN,Aggravated Assault,4.0
CEDAR - ISLES - DEAN,Arson,1.0
CEDAR - ISLES - DEAN,Auto Theft,12.0
CEDAR - ISLES - DEAN,Burglary,21.0
CEDAR - ISLES - DEAN,Homicide,0.0
CEDAR - ISLES - DEAN,Larceny,106.0
CEDAR - ISLES - DEAN,Rape,0.0
CEDAR - ISLES - DEAN,Robbery,6.0
CEDAR RIVERSIDE,Aggravated Assault,58.0
CEDAR RIVERSIDE,Arson,1.0
CEDAR RIVERSIDE,Auto Theft,97.0
CEDAR RIVERSIDE,Burglary,50.0
CEDAR RIVERSIDE,Homicide,4.0
CEDAR RIVERSIDE,Larceny,451.0
CEDAR RIVERSIDE,Rape,16.0
CEDAR RIVERSIDE,Robbery,57.0
CENTRAL,Aggravated Assault,112.0
CENTRAL,Arson,3.0
CENTRAL,Auto Theft,91.0
CENTRAL,Burglary,141.0
CENTRAL,Homicide,1.0
CENTRAL,Larceny,204.0
CENTRAL,Rape,22.0
CENTRAL,Robbery,74.0
CLEVELAND,Aggravated Assault,52.0
CLEVELAND,Arson,4.0
CLEVELAND,Auto Theft,43.0
CLEVELAND,Burglary,90.0
CLEVELAND,Homicide,2.0
CLEVELAND,Larceny,97.0
CLEVELAND,Rape,9.0
CLEVELAND,Robbery,21.0
COLUMBIA PARK,Aggravated Assault,9.0
COLUMBIA PARK,Arson,0.0
COLUMBIA PARK,Auto Theft,9.0
COLUMBIA PARK,Burglary,18.0
COLUMBIA PARK,Homicide,0.0
COLUMBIA PARK,Larceny,53.0
COLUMBIA PARK,Rape,1.0
COLUMBIA PARK,Robbery,5.0
COMO,Aggravated Assault,20.0
COMO,Arson,0.0
COMO,Auto Theft,80.0
COMO,Burglary,122.0
COMO,Homicide,0.0
COMO,Larceny,240.0
COMO,Rape,15.0
COMO,Robbery,13.0
COOPER,Aggravated Assault,5.0
COOPER,Arson,0.0
COOPER,Auto Theft,25.0
COOPER,Burglary,67.0
COOPER,Homicide,0.0
COOPER,Larceny,128.0
COOPER,Rape,2.0
COOPER,Robbery,3.0
CORCORAN,Aggravated Assault,21.0
CORCORAN,Arson,1.0
CORCORAN,Auto Theft,38.0
CORCORAN,Burglary,78.0
CORCORAN,Homicide,1.0
CORCORAN,Larceny,146.0
CORCORAN,Rape,6.0
CORCORAN,Robbery,19.0
DIAMOND LAKE,Aggravated Assault,10.0
DIAMOND LAKE,Arson,0.0
DIAMOND LAKE,Auto Theft,28.0
DIAMOND LAKE,Burglary,63.0
DIAMOND LAKE,Homicide,0.0
DIAMOND LAKE,Larceny,112.0
DIAMOND LAKE,Rape,3.0
DIAMOND LAKE,Robbery,1.0
DOWNTOWN EAST,Aggravated Assault,22.0
DOWNTOWN EAST,Arson,0.0
DOWNTOWN EAST,Auto Theft,40.0
DOWNTOWN EAST,Burglary,35.0
DOWNTOWN EAST,Homicide,0.0
DOWNTOWN EAST,Larceny,415.0
DOWNTOWN EAST,Rape,6.0
DOWNTOWN EAST,Robbery,11.0
DOWNTOWN WEST,Aggravated Assault,272.0
DOWNTOWN WEST,Arson,7.0
DOWNTOWN WEST,Auto Theft,201.0
DOWNTOWN WEST,Burglary,154.0
DOWNTOWN WEST,Homicide,3.0
DOWNTOWN WEST,Larceny,3126.0
DOWNTOWN WEST,Rape,98.0
DOWNTOWN WEST,Robbery,326.0
EAST HARRIET,Aggravated Assault,4.0
EAST HARRIET,Arson,0.0
EAST HARRIET,Auto Theft,11.0
EAST HARRIET,Burglary,34.0
EAST HARRIET,Homicide,0.0
EAST HARRIET,Larceny,162.0
EAST HARRIET,Rape,3.0
EAST HARRIET,Robbery,9.0
EAST ISLES,Aggravated Assault,16.0
EAST ISLES,Arson,0.0
EAST ISLES,Auto Theft,29.0
EAST ISLES,Burglary,59.0
EAST ISLES,Homicide,0.0
EAST ISLES,Larceny,394.0
EAST ISLES,Rape,5.0
EAST ISLES,Robbery,13.0
EAST PHILLIPS,Aggravated Assault,121.0
EAST PHILLIPS,Arson,4.0
EAST PHILLIPS,Auto Theft,114.0
EAST PHILLIPS,Burglary,80.0
EAST PHILLIPS,Homicide,4.0
EAST PHILLIPS,Larceny,276.0
EAST PHILLIPS,Rape,13.0
EAST PHILLIPS,Robbery,102.0
ECCO,Aggravated Assault,8.0
ECCO,Arson,0.0
ECCO,Auto Theft,16.0
ECCO,Burglary,51.0
ECCO,Homicide,0.0
ECCO,Larceny,347.0
ECCO,Rape,1.0
ECCO,Robbery,6.0
ELLIOT PARK,Aggravated Assault,100.0
ELLIOT PARK,Arson,2.0
ELLIOT PARK,Auto Theft,89.0
ELLIOT PARK,Burglary,64.0
ELLIOT PARK,Homicide,2.0
ELLIOT PARK,Larceny,496.0
ELLIOT PARK,Rape,49.0
ELLIOT PARK,Robbery,48.0
ERICSSON,Aggravated Assault,7.0
ERICSSON,Arson,0.0
ERICSSON,Auto Theft,23.0
ERICSSON,Burglary,98.0
ERICSSON,Homicide,0.0
ERICSSON,Larceny,86.0
ERICSSON,Rape,3.0
ERICSSON,Robbery,2.0
FIELD,Aggravated Assault,8.0
FIELD,Arson,0.0
FIELD,Auto Theft,17.0
FIELD,Burglary,45.0
FIELD,Homicide,0.0
FIELD,Larceny,61.0
FIELD,Rape,0.0
FIELD,Robbery,2.0
FOLWELL,Aggravated Assault,172.0
FOLWELL,Arson,2.0
FOLWELL,Auto Theft,114.0
FOLWELL,Burglary,111.0
FOLWELL,Homicide,3.0
FOLWELL,Larceny,186.0
FOLWELL,Rape,15.0
FOLWELL,Robbery,65.0
FULTON,Aggravated Assault,3.0
FULTON,Arson,2.0
FULTON,Auto Theft,19.0
FULTON,Burglary,55.0
FULTON,Homicide,0.0
FULTON,Larceny,175.0
FULTON,Rape,3.0
FULTON,Robbery,5.0
HALE,Aggravated Assault,3.0
HALE,Arson,0.0
HALE,Auto Theft,11.0
HALE,Burglary,38.0
HALE,Homicide,0.0
HALE,Larceny,50.0
HALE,Rape,0.0
HALE,Robbery,1.0
HARRISON,Aggravated Assault,59.0
HARRISON,Arson,1.0
HARRISON,Auto Theft,48.0
HARRISON,Burglary,50.0
HARRISON,Homicide,0.0
HARRISON,Larceny,156.0
HARRISON,Rape,8.0
HARRISON,Robbery,21.0
HAWTHORNE,Aggravated Assault,203.0
HAWTHORNE,Arson,8.0
HAWTHORNE,Auto Theft,163.0
HAWTHORNE,Burglary,98.0
HAWTHORNE,Homicide,2.0
HAWTHORNE,Larceny,368.0
HAWTHORNE,Rape,32.0
HAWTHORNE,Robbery,112.0
HIAWATHA,Aggravated Assault,14.0
HIAWATHA,Arson,0.0
HIAWATHA,Auto Theft,50.0
HIAWATHA,Burglary,78.0
HIAWATHA,Homicide,0.0
HIAWATHA,Larceny,301.0
